"pattern_code","theme","title","content"
"PATTERN_004","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に摩擦, 衝突の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_004","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に摩擦, 価値観の違いの面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_004","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に衝突, 摩擦の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_005","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に誤解, 摩擦の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_005","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に衝突, 誤解の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_005","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に誤解, 衝突の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_005","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に摩擦, 誤解の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_005","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に衝突, 価値観の違いの面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_006","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に衝突, 相容れないの面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_006","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に大きな衝突, 摩擦の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_006","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に誤解, 大きな衝突の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_006","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に反発, 摩擦の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_006","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に摩擦, 誤解の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_007","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に衝突, 対立の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_007","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に誤解, 反発の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_007","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に大きな衝突, 相容れないの面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_007","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  大きな衝突が予想される厳しい関係と言えます。 特に相容れない, ビジネスの面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_007","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 パートナー相性の要素が強調されています。  大きな衝突が予想される厳しい関係と言えます。 特に衝突, 反発の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_008","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に摩擦, 誤解の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_008","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に摩擦, 共同作業の面で特徴が現れるでしょう。 互いの違いを理解し、尊重する姿勢が大切です。"
"PATTERN_008","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に衝突, 摩擦の面で特徴が現れるでしょう。 期待値を現実的に設定することで、摩擦を減らせます。"
"PATTERN_008","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に調和, 摩擦の面で特徴が現れるでしょう。 関係の発展は互いの努力次第です。"
"PATTERN_008","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に協力, 誤解の面で特徴が現れるでしょう。 相手の長所に注目することで、より良い関係を築ける可能性があります。"
"PATTERN_009","general","穏やかな相性","この相性は全体的に 基本的に良好ですが、一部に課題もある関係です。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に共同作業, 誤解の面で特徴が現れるでしょう。 小さな誤解があっても、話し合いで解決できる関係です。"
"PATTERN_009","relationship","穏やかな相性の恋愛関係","恋愛や結婚関係においては 基本的に良好ですが、一部に課題もある関係です。 優れた相性の要素が強調されています。  特に摩擦, 共同作業の面で特徴が現れるでしょう。 互いに素直な気持ちを伝え合うことで、さらに絆が深まります。"
"PATTERN_009","business","穏やかな相性のビジネス関係","仕事やビジネス関係においては 基本的に良好ですが、一部に課題もある関係です。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に摩擦, 誤解の面で特徴が現れるでしょう。 明確な役割分担が、より良い協力関係につながります。"
"PATTERN_009","friendship","穏やかな相性の友人関係","友人関係においては 基本的に良好ですが、一部に課題もある関係です。 優れた相性の要素が強調されています。  特に共同作業, 価値観の違いの面で特徴が現れるでしょう。 気軽に連絡を取り合う関係を維持することが大切です。"
"PATTERN_009","family","穏やかな相性の家族関係","家族関係においては 基本的に良好ですが、一部に課題もある関係です。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に調和, 協力の面で特徴が現れるでしょう。 お互いのプライバシーや個性を尊重することで、良好な関係が続きます。"
"PATTERN_010","general","優れた相性","この相性は全体的に とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に価値観の違い, 価値観の面で特徴が現れるでしょう。 お互いのプライバシーや個性を尊重することで、良好な関係が続きます。"
"PATTERN_010","relationship","優れた相性の恋愛関係","恋愛や結婚関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 優れた相性の要素が非常に強く、お互いの関係において重要な役割を果たします。  特に衝突, 価値観の面で特徴が現れるでしょう。 互いの長所を認め合い、成長を促進し合える関係です。"
"PATTERN_010","business","優れた相性のビジネス関係","仕事やビジネス関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 優れた相性の要素が非常に強く、お互いの関係において重要な役割を果たします。  特に共同作業, 協力の面で特徴が現れるでしょう。 定期的なフィードバックで、ビジネス関係を向上させられます。"
"PATTERN_010","friendship","優れた相性の友人関係","友人関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に共同作業, 調和の面で特徴が現れるでしょう。 気軽に連絡を取り合う関係を維持することが大切です。"
"PATTERN_010","family","優れた相性の家族関係","家族関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に誤解, 価値観の面で特徴が現れるでしょう。 互いの違いを認め合うことで、より安定した関係を築けます。"
"PATTERN_011","general","優れた相性","この相性は全体的に とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  共感と理解に基づく長期的な協力関係と言えます。 特に価値観, 協力の面で特徴が現れるでしょう。 定期的なコミュニケーションを心がけることで、理解が深まります。"
"PATTERN_011","relationship","優れた相性の恋愛関係","恋愛や結婚関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  共感と理解に基づく長期的な協力関係と言えます。 特に長期的関係, 精神的つながりの面で特徴が現れるでしょう。 困難な時こそ力を合わせることで、より強固な絆になります。"
"PATTERN_011","business","優れた相性のビジネス関係","仕事やビジネス関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  共感と理解に基づく長期的な協力関係と言えます。 特に誤解, 衝突の面で特徴が現れるでしょう。 定期的なフィードバックで、ビジネス関係を向上させられます。"
"PATTERN_011","friendship","優れた相性の友人関係","友人関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  共感と理解に基づく長期的な協力関係と言えます。 特に衝突, 目標達成の面で特徴が現れるでしょう。 相手の話をよく聞くことで、友情が深まります。"
"PATTERN_011","family","優れた相性の家族関係","家族関係においては とても良く、お互いの価値観が合い、深い理解と調和に基づく関係を築けます。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  共感と理解に基づく長期的な協力関係と言えます。 特に相互成長, ビジネスの面で特徴が現れるでしょう。 お互いのプライバシーや個性を尊重することで、良好な関係が続きます。"
"PATTERN_012","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に摩擦, 友情の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_012","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に社交, 摩擦の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_012","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に楽しさ, 誤解の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_012","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に社交, 誤解の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_012","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に気軽さ, 楽しさの面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_013","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に価値観の違い, 仕事の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_013","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に誤解, ビジネスの面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_013","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に目標達成, 実務の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_013","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に目標達成, 実務の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_013","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に価値観の違い, 摩擦の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_014","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に大きな衝突, 価値観の違いの面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_014","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に反発, 大きな衝突の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_014","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に摩擦, 相容れないの面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_014","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に反発, 対立の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_014","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に反発, 衝突の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_015","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に相容れない, 共同作業の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_015","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に誤解, 反発の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_015","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に摩擦, 共同作業の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_015","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に協力, 誤解の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_015","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に価値観, 衝突の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_016","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特にビジネス, 相容れないの面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_016","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に衝突, 実務の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_016","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に衝突, 大きな衝突の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_016","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特に衝突, 大きな衝突の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_016","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  大きな衝突が予想される厳しい関係と言えます。 特にビジネス, 目標達成の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_017","general","注意が必要な相性","この相性は全体的に 一部に課題があり、注意が必要な関係です。 注意が必要な相性の要素がより顕著に表れます。  特に摩擦, 共同作業の面で特徴が現れるでしょう。 互いの違いを理解し、尊重する姿勢が大切です。"
"PATTERN_017","relationship","注意が必要な相性の恋愛関係","恋愛や結婚関係においては 一部に課題があり、注意が必要な関係です。 注意が必要な相性の要素がより顕著に表れます。  特に衝突, 価値観の違いの面で特徴が現れるでしょう。 コミュニケーションの取り方に工夫が必要です。"
"PATTERN_017","business","注意が必要な相性のビジネス関係","仕事やビジネス関係においては 一部に課題があり、注意が必要な関係です。 注意が必要な相性の要素がより顕著に表れます。  特に価値観, 共同作業の面で特徴が現れるでしょう。 コミュニケーションの取り方に工夫が必要です。"
"PATTERN_017","friendship","注意が必要な相性の友人関係","友人関係においては 一部に課題があり、注意が必要な関係です。 注意が必要な相性の要素がより顕著に表れます。  特に誤解, 価値観の面で特徴が現れるでしょう。 共通の興味を見つけることで、関係が良い方向に進む可能性があります。"
"PATTERN_017","family","注意が必要な相性の家族関係","家族関係においては 一部に課題があり、注意が必要な関係です。 注意が必要な相性の要素がより顕著に表れます。  特に誤解, 協力の面で特徴が現れるでしょう。 相手の長所に注目することで、より良い関係を築ける可能性があります。"
"PATTERN_018","general","良好な相性","この相性は全体的に 良好で、安定した関係を築きやすい特徴があります。 注意が必要な相性の要素がより顕著に表れます。  特に摩擦, 誤解の面で特徴が現れるでしょう。 互いの違いを認め合うことで、より安定した関係を築けます。"
"PATTERN_018","relationship","良好な相性の恋愛関係","恋愛や結婚関係においては 良好で、安定した関係を築きやすい特徴があります。 優れた相性の要素が強調されています。  特に調和, 共同作業の面で特徴が現れるでしょう。 互いの長所を認め合い、成長を促進し合える関係です。"
"PATTERN_018","business","良好な相性のビジネス関係","仕事やビジネス関係においては 良好で、安定した関係を築きやすい特徴があります。 優れた相性の要素が強調されています。  特に協力, 価値観の違いの面で特徴が現れるでしょう。 定期的なフィードバックで、ビジネス関係を向上させられます。"
"PATTERN_018","friendship","良好な相性の友人関係","友人関係においては 良好で、安定した関係を築きやすい特徴があります。 優れた相性の要素が強調されています。  特に協力, 価値観の面で特徴が現れるでしょう。 気軽に連絡を取り合う関係を維持することが大切です。"
"PATTERN_018","family","良好な相性の家族関係","家族関係においては 良好で、安定した関係を築きやすい特徴があります。 注意が必要な相性の要素がより顕著に表れます。  特に価値観, 共同作業の面で特徴が現れるでしょう。 お互いのプライバシーや個性を尊重することで、良好な関係が続きます。"
"PATTERN_019","general","とても良い相性","この相性は全体的に 非常に良好で、互いに強い絆で結ばれる運命的な関係を築ける可能性があります。 注意が必要な相性の要素がより顕著に表れます。  特に共同作業, 価値観の違いの面で特徴が現れるでしょう。 困難な時こそ力を合わせることで、より強固な絆になります。"
"PATTERN_019","relationship","とても良い相性の恋愛関係","恋愛や結婚関係においては 非常に良好で、互いに強い絆で結ばれる運命的な関係を築ける可能性があります。 優れた相性の要素が非常に強く、お互いの関係において重要な役割を果たします。  特に協力, 共同作業の面で特徴が現れるでしょう。 互いに素直な気持ちを伝え合うことで、さらに絆が深まります。"
